#{"t_start": 1735582979.81298, "env_id": "None"}
r,l,t
2.126042,412,18461.323307
65.888906,1501,18501.055728
79.220647,1501,18539.638351
68.630288,1501,18578.89393
44.439141,1501,18618.592176
48.994493,1501,18657.923053
76.59258,1501,18697.514267
61.865674,1501,18735.611029
80.24876,1501,18775.008026
62.5648,1501,18814.851475
40.407619,1501,18854.518801
26.934981,940,18879.196774
61.494186,1501,18918.096228
0.005882,153,18923.565404
80.635432,1501,18962.366204
66.809326,1501,19001.765123
77.820177,1501,19041.3556
12.947769,780,19062.083494
78.712308,1501,19101.376007
62.019889,1501,19140.989214
81.933144,1501,19180.448578
0.018481,162,19184.711871
67.497521,1501,19224.211433
19.16952,1171,19254.455757
72.545242,1501,19294.163371
72.239367,1501,19333.880905
64.270999,1501,19372.977576
49.175448,1501,19411.68955
84.125048,1501,19451.281319
77.561075,1501,19491.285906
44.613784,1501,19530.898354
40.49413,1501,19570.11612
13.949814,741,19589.8612
80.24719,1501,19629.818382
40.856723,1204,19661.10219
52.905205,1501,19700.713463
56.308928,1501,19739.540569
69.244264,1501,19778.813897
2.400709,224,19786.008654
79.252388,1501,19825.530232
76.716707,1501,19864.284447
65.28834,1501,19903.623806
68.646672,1501,19943.294
75.833866,1501,19983.152169
33.744485,1501,20022.452043
78.964767,1501,20061.259631
64.266923,1501,20100.777285
73.266428,1501,20140.558697
44.669301,1501,20180.149436
80.871474,1501,20218.574672
63.389371,1501,20257.53947
53.185879,1501,20297.178601
54.842789,1501,20336.787567
69.403351,1501,20375.823705
67.702542,1501,20414.781757
66.102645,1501,20454.299017
56.970828,1501,20493.786883
53.932408,1501,20533.401874
47.764053,1501,20572.419907
67.390368,1501,20611.228749
74.195217,1501,20650.648928
76.394418,1501,20690.238831
44.023064,1501,20730.224801
79.624487,1501,20769.213726
9.991309,1501,20808.749706
21.841714,883,20832.595169
0.005352,114,20835.705529
48.025201,1501,20874.93693
0.017761,176,20879.527086
66.036031,1501,20919.156478
44.39781,1501,20958.379337
67.685866,1501,20997.690626
60.250117,1501,21036.211781
54.695288,1501,21075.952149
42.818064,1501,21115.554014
50.841895,1501,21155.220654
42.957659,1501,21194.39375
78.886342,1501,21232.717481
42.620166,1501,21272.181696
51.795281,1501,21311.214666
36.573744,1501,21350.677656
66.360986,1501,21388.573793
5.828642,1501,21427.748544
64.449377,1501,21466.416279
38.15173,1501,21505.50849
51.499192,1501,21543.472754
41.884617,1501,21582.201417
79.107764,1501,21620.993122
71.188197,1501,21660.379565
31.576366,1501,21698.468506
51.28042,1501,21737.390301
67.168447,1501,21776.488613
33.639092,709,21794.74402
76.600996,1501,21833.782319
0.368428,455,21845.994725
49.139166,1501,21885.258898
64.328806,1501,21923.903677
51.615642,1501,21962.586446
47.40782,1501,22001.654814
72.732281,1501,22040.906691
13.50863,724,22059.726947
13.9719,1501,22098.955797
65.636624,1501,22138.138639
66.23898,1501,22177.01614
50.792118,1501,22216.493152
53.854634,1501,22256.304472
32.800724,1501,22295.916174
3.239172,385,22306.660033
2.814303,1501,22344.830867
48.39865,1501,22384.128095
28.932535,1501,22423.286751
9.167018,1067,22451.013273
40.299103,1501,22490.406195
18.64856,1501,22528.914932
73.22836,1501,22567.803094
88.552477,1501,22607.451803
5.12389,528,22621.772835
15.771856,1501,22661.453202
72.98557,1501,22700.200812
60.672983,1501,22737.882354
14.700894,544,22752.323143
57.188722,1501,22790.887528
43.347933,1501,22829.821825
11.565214,1365,22864.953253
6.964381,380,22874.629085
80.580654,1501,22913.548632
66.99447,1501,22952.288357
78.565256,1501,22991.109808
79.572103,1501,23029.412538
82.310921,1501,23068.48581
26.813951,1501,23107.544175
52.413642,1501,23146.927797
87.409245,1501,23185.965055
20.269509,1501,23225.640431
82.93267,1501,23263.942982
83.715188,1501,23302.800048
34.767381,1501,23341.939449
83.660205,1501,23380.680261
85.62297,1501,23419.531063
54.787879,1501,23458.220442
76.228337,1501,23497.118338
68.981435,1501,23536.192577
84.119397,1501,23575.274863
52.400093,1501,23613.843931
65.40705,1501,23652.180726
57.135307,1501,23691.271021
66.288904,1501,23730.290995
36.924412,1501,23769.225101
49.627871,1501,23808.757839
38.115776,1501,23846.727763
71.911825,1501,23885.352297
50.361786,1501,23924.501122
82.787782,1501,23963.355516
57.80775,1501,24002.365327
62.65893,1501,24040.402533
75.185304,1501,24079.473101
8.373398,1110,24108.37066
0.012707,179,24114.336785
76.219429,1501,24152.792529
63.147666,1501,24191.817538
0.048907,136,24196.782748
75.297468,1501,24234.874999
39.950651,1501,24274.446714
62.594508,1501,24313.88364
68.562624,1501,24352.679483
83.671583,1501,24391.995005
71.885925,1501,24430.797225
2.441676,200,24436.801243
57.167497,1501,24476.410086
47.503476,1501,24515.289644
55.610661,1501,24553.665461
0.286535,268,24561.619013
73.784534,1501,24600.35064
86.548668,1501,24638.212197
81.414325,1501,24676.572992
81.092366,1501,24715.18841
79.577349,1501,24754.183741
49.674109,1501,24792.990414
37.393271,1501,24830.778698
75.363032,1501,24869.699707
46.586408,1501,24908.360249
31.164415,1501,24947.225661
27.796879,1501,24985.657743
82.336034,1501,25023.83981
70.93622,1501,25062.863179
73.367351,1501,25102.155696
19.455769,1501,25141.253169
17.462869,1501,25179.189142
53.087597,1501,25217.543421
56.087473,1501,25256.230664
66.156576,1501,25295.546279
67.990524,1501,25334.575703
84.788992,1501,25372.059183
