#{"t_start": 1736094437.4350529, "env_id": "None"}
r,l,t
0.198276,77,15397.547394
0.02086,81,15400.865831
3.721158,91,15404.569335
163.999517,3001,15516.32898
3.733732,96,15520.245749
156.968127,3001,15635.759933
45.588233,877,15671.306653
6.605584,239,15681.577907
45.132572,1135,15723.827482
1.044475,146,15729.627859
151.518189,3001,15847.469345
118.223941,3001,15960.371915
125.639244,2661,16057.425828
105.985553,2523,16150.298104
