#{"t_start": 1731235527.5467494, "env_id": "None"}
r,l,t
0.013103,275,3074.018096
0.007998,336,3080.910311
0.004727,69,3082.672355
0.013193,428,3091.055434
0.081666,794,3106.273254
0.023354,189,3110.554554
0.017747,433,3119.746817
0.083657,464,3129.146425
0.037692,94,3131.618172
0.021168,78,3133.641852
0.028734,252,3138.875713
0.025405,303,3144.928241
0.175038,384,3152.512672
0.043096,528,3162.754744
0.056014,359,3169.887708
0.042202,595,3181.332304
0.026962,434,3189.856816
0.042306,468,3199.073978
0.019053,595,3210.759129
0.054863,204,3215.028933
0.049586,441,3224.039627
0.259923,397,3231.771908
0.311637,342,3238.666347
0.028118,425,3246.920852
0.012434,740,3261.006832
0.070723,510,3270.874444
0.02074,368,3278.132594
0.002594,297,3284.23877
0.023885,300,3290.241435
0.01963,653,3302.776897
0.008587,87,3304.86687
0.0,230,3309.562709
0.020769,899,3328.161547
0.033542,236,3333.06765
0.032002,342,3340.028071
0.007683,198,3344.238178
0.0,89,3346.3616
0.295645,108,3348.808961
0.064299,113,3351.331674
0.01437,233,3356.159596
0.007957,210,3360.4767
0.001915,107,3362.923654
0.002231,278,3368.536844
0.039971,214,3372.97835
0.002902,75,3374.850736
0.28406,327,3381.383698
0.007006,92,3383.518852
0.011418,96,3385.761156
0.276301,1001,3405.445659
0.003498,1001,3424.868295
0.004112,161,3428.329759
0.057639,130,3431.222575
0.011617,85,3433.286581
0.026058,152,3436.58419
0.012011,82,3438.552315
0.014878,442,3447.174661
0.000257,174,3450.874154
0.049907,407,3459.025473
0.148108,125,3461.820082
0.001902,54,3463.292885
0.079483,509,3473.183486
0.016045,195,3477.288088
0.002273,177,3481.039755
0.090281,84,3483.066756
0.005606,323,3489.445306
0.083086,738,3503.643765
0.03055,670,3516.828425
0.0,416,3525.085905
0.021129,98,3527.458925
0.006902,469,3536.714902
0.049865,505,3546.576283
0.042852,43,3547.867683
0.140023,86,3549.930575
0.052191,105,3552.346148
0.039535,294,3558.258255
0.017348,359,3565.324931
0.021603,402,3573.28478
0.0,714,3587.359097
0.0889,124,3590.514581
0.025336,230,3595.507432
0.01583,614,3607.811162
0.005937,169,3611.603642
0.038498,444,3620.967424
0.031505,158,3624.52086
0.036765,169,3628.306324
0.032251,94,3631.038904
0.002386,128,3634.115146
0.004864,217,3638.818854
0.069393,1001,3657.195661
0.037551,1001,3676.002219
0.0,867,3692.189321
0.00476,167,3695.637552
0.102307,119,3698.268094
0.014519,301,3704.151813
0.010428,1001,3722.352196
0.005098,777,3736.722288
0.010205,1001,3756.250037
0.0,640,3768.547887
0.044305,511,3778.096591
0.0,1001,3796.488174
0.0,1001,3816.324283
0.0,1001,3834.964608
0.0,1001,3853.356285
0.0,936,3870.991347
0.014702,591,3883.186908
0.006427,263,3888.793127
0.012083,121,3891.641335
0.003951,321,3898.05303
0.043991,247,3903.06422
0.00714,270,3908.50082
0.0,56,3909.989244
0.0,178,3913.722983
0.005315,277,3919.494223
0.008944,143,3922.799262
0.004227,282,3928.510881
0.0,73,3930.385341
0.017493,153,3933.614117
0.018465,148,3936.660723
0.004772,68,3938.356415
0.016365,389,3945.86487
0.000485,464,3954.775165
0.015787,374,3961.95693
0.003276,711,3975.030671
0.007112,88,3977.039113
0.01141,86,3979.017584
0.008551,209,3983.061537
0.006761,153,3986.244534
0.018341,281,3991.538457
0.014647,162,3994.826938
0.0,545,4004.629948
0.001872,1001,4022.674558
0.062253,1001,4040.46705
0.07664,1001,4058.410123
0.041938,1001,4076.438523
0.037227,1001,4094.421588
0.0,1001,4112.663643
0.0,303,4118.518596
0.004981,320,4124.694136
0.0,1001,4142.795146
0.003198,1001,4161.05632
0.019004,1001,4179.034534
0.012523,88,4181.029726
0.0,1001,4199.946027
0.006819,994,4217.957715
0.000917,90,4220.000369
0.02257,147,4223.08722
0.007911,1001,4241.231289
0.0,975,4259.499281
0.002825,1001,4278.1146
0.008353,322,4284.340241
0.004703,1001,4302.399852
0.000162,74,4304.149865
0.002107,716,4317.064271
0.004903,110,4319.473259
0.002997,122,4322.076616
0.02501,1001,4339.846688
0.0,49,4341.148333
0.006471,589,4351.826181
0.0,587,4362.480881
0.02684,225,4366.845401
0.016952,1001,4384.754871
0.038461,664,4397.016574
0.004161,35,4398.172931
0.000934,1001,4415.973551
0.006596,120,4418.635854
0.059259,1001,4436.591216
0.00247,1001,4454.48169
0.023731,120,4456.999688
0.004502,20,4457.783278
0.002599,34,4458.849303
0.019924,186,4462.482451
0.002931,107,4464.828518
0.013597,752,4478.461557
0.000207,624,4489.805583
0.034192,101,4491.988987
0.164139,641,4503.64778
0.019256,286,4509.235201
0.014848,879,4524.846205
0.217509,256,4529.770957
0.052611,218,4534.040226
0.30284,1001,4551.965716
0.244249,184,4555.650168
0.01951,437,4563.589635
0.07532,65,4565.54636
0.0,46,4566.879754
0.007111,164,4570.594887
0.893012,116,4578.210762
0.014145,423,4590.700011
0.001274,40,4592.28134
0.113671,507,4604.814981
0.050998,206,4610.229573
0.081625,580,4623.43892
0.068596,746,4675.087163
0.003315,218,4679.78518
0.038325,133,4682.930193
0.538381,469,4691.679063
0.009263,188,4695.456905
0.01782,227,4699.706881
0.044852,161,4702.850941
0.060941,131,4705.494703
0.048586,843,4720.472764
0.011578,170,4723.737638
0.060459,199,4727.584572
0.003132,167,4730.823271
0.02346,139,4733.611551
0.123097,53,4734.984911
0.010269,89,4736.964453
0.027316,286,4742.293209
0.033525,411,4749.692144
0.036607,272,4754.74622
0.046996,184,4758.361209
0.017777,1001,4776.09904
0.10859,288,4781.516219
0.23273,186,4785.215198
0.055874,296,4790.675306
0.085549,649,4802.407261
0.027455,1001,4820.212346
0.068298,1001,4838.206105
0.084585,197,4842.055917
0.217743,1001,4859.843901
0.168467,1001,4877.588021
0.258877,585,4888.5146
0.068735,1001,4906.629989
0.346912,1001,4924.553718
0.686998,1001,4942.488433
0.10632,1001,4960.530936
0.719614,1001,4978.937826
0.587472,1001,4999.526875
0.15357,1001,5019.026773
0.426637,1001,5040.009494
0.216454,1001,5062.815416
0.440244,810,5080.167791
0.614452,1001,5098.968403
0.170829,1001,5117.845839
0.359834,1001,5136.764698
0.173876,1001,5155.577675
0.103979,1001,5174.569736
0.247256,1001,5193.254373
0.386694,1001,5212.539069
0.317107,1001,5231.301025
0.123929,1001,5250.278914
0.129282,1001,5268.445111
0.093147,1001,5287.04308
0.045112,1001,5306.098646
0.223371,1001,5325.392261
0.039615,1001,5344.350782
0.026085,1001,5363.223972
0.08329,1001,5381.857748
0.118568,1001,5400.270927
0.021206,1001,5418.077219
0.05813,1001,5436.125424
0.346794,1001,5454.383565
0.176716,1001,5472.513243
0.714904,1001,5491.11079
0.896761,1001,5510.344656
3.031975,1001,5529.181107
5.931482,1001,5549.115006
0.074415,1001,5568.056013
0.067201,1001,5587.533307
0.102372,701,5601.132742
0.30028,828,5617.240798
0.037359,33,5618.351662
0.217496,42,5619.630087
0.296698,47,5621.010401
0.492918,39,5622.220316
0.753586,52,5623.628662
0.169965,410,5631.660383
0.167716,54,5633.139085
0.107289,25,5634.117574
0.21163,33,5635.236165
0.150188,40,5636.429379
0.119751,1001,5655.519485
0.196078,1001,5674.670994
0.120262,1001,5693.78987
0.718988,1001,5712.863505
1.139865,1001,5731.859424
3.625781,1001,5751.008224
0.978217,1001,5770.23853
1.23754,1001,5789.367173
0.825395,1001,5807.926053
1.005134,1001,5826.314191
0.794441,1001,5844.706683
1.601882,1001,5862.943586
0.008544,1001,5881.400542
0.967016,1001,5899.654766
2.244316,1001,5918.02237
0.935488,1001,5936.439758
0.97254,1001,5954.705444
0.824075,1001,5973.157318
0.703308,1001,5991.706563
1.332833,1001,6009.997842
1.533223,1001,6029.751153
2.532004,1001,6049.023678
0.964515,1001,6067.761973
0.710605,81,6069.744935
1.394654,57,6071.234718
1.793922,81,6073.130162
1.610813,110,6075.546675
2.276731,47,6076.887949
1.386901,74,6078.68909
2.392621,56,6080.310776
2.094531,779,6094.710968
0.592723,289,6100.269928
2.271033,493,6109.57569
0.65166,55,6110.998232
0.877422,52,6112.362075
1.046911,79,6114.248004
1.147667,57,6115.724908
1.475508,49,6117.080466
1.706943,58,6118.579901
0.537325,61,6120.1088
0.565643,74,6121.933293
0.77898,57,6123.427676
1.736512,51,6124.820617
1.376788,1001,6143.131077
1.724,49,6144.463539
1.064512,48,6145.823016
0.80316,59,6147.328087
1.064348,53,6148.755764
0.75,54,6150.166645
1.821555,57,6151.676142
1.445537,46,6152.961078
0.51846,52,6154.374041
1.760575,1001,6172.664516
0.220359,45,6173.931311
1.387103,1001,6192.49806
0.016194,42,6193.766984
0.003497,50,6195.148575
0.482768,40,6196.312617
1.175887,100,6198.505472
0.861511,39,6199.674441
0.845709,37,6200.80052
1.347138,50,6202.170119
0.03289,39,6203.307698
